API,Hidden API
/orgs/{org}/packages/{package_type}/{package_name}/versions/{package_version_id}/restore,/orgs/{org}/packages/{package_type}/{package_name}/versions
/en/rest/rate-limit,/en/rest/rate-limit/rate-limit
/en/rest/authentication,/en/rest/search
/orgs/{org}/members,/orgs/{org}/blocks
/repos/{owner}/{repo}/activity,/repos/{owner}/{repo}/languages
/repos/{owner}/{repo}/private-vulnerability-reporting,/repos/{owner}/{repo}
/user,/user/packages/{package_type}/{package_name}/versions
/repos/{owner}/{repo}/vulnerability-alerts,/repos/{owner}/{repo}/security-advisories
/user/installations,/user/marketplace_purchases
/repos/{owner}/{repo}/pages,/repos/{owner}/{repo}/hooks
/en/rest/codes-of-conduct,/en/rest/activity
/en/rest/pulls/comments,/en/rest/pulls/pulls
/repos/{owner}/{repo}/releases,/repos/{owner}/{repo}/releases/{release_id}/assets
/orgs/{org}/dependabot/secrets,/orgs/{org}/dependabot/secrets/public-key
/repos/{owner}/{repo}/languages,/repos/{owner}/{repo}/dispatches
/user/codespaces/{codespace_name}/stop,/user/codespaces/{codespace_name}/machines
/orgs/{org}/hooks/{hook_id}/deliveries/{delivery_id}/attempts,/orgs/{org}/hooks
/repos/{owner}/{repo}/check-runs,/repos/{owner}/{repo}/tags
/repos/{owner}/{repo},/repos/{owner}/{repo}/deployments/{deployment_id}/statuses
/en/rest/billing,/en/rest/security-advisories
/repos/{owner}/{repo}/notifications,/repos/{owner}/{repo}/branches
/repos/{owner}/{repo}/private-vulnerability-reporting,/repos/{owner}/{repo}/invitations
/en/rest/git,/en/rest/meta
/repos/{owner}/{repo}/issues,/repos/{owner}/{repo}/dispatches
/en/rest/quickstart,/en/rest/secret-scanning
/repos/{template_owner}/{template_repo}/generate,/repos/{template_owner}
/users/{username}/starred,/users/{username}/followers
/repos/{owner}/{repo}/activity,/repos/{owner}/{repo}/contributors
/repos/{owner}/{repo}/license,/repos/{owner}/{repo}/keys
/repos/{owner}/{repo}/subscribers,/repos/{owner}/{repo}/transfer
/en/rest,/en/rest/deploy-keys
/en/rest/pages/pages,/en/rest/pages
/repos/{owner}/{repo}/hooks,/repos/{owner}/{repo}/commits
/orgs/{org}/invitations/{invitation_id}/teams,/orgs/{org}/invitations
/repos/{owner}/{repo}/issues/{issue_number},/repos/{owner}/{repo}/issues/{issue_number}/assignees
/users/{username}/installation,/users
/users/{username}/packages,/users/{username}/received_events
/en/rest/orgs/orgs,/en/rest/orgs/personal-access-tokens
/en/rest/pages,/en/rest/collaborators
/user/installations,/user/issues
/repos/{owner}/{repo}/activity,/repos/{owner}/{repo}/teams
/repos/{owner}/{repo}/environments/{environment_name}/deployment-branch-policies/{branch_policy_id},/repos/{owner}/{repo}/environments/{environment_name}
/gists,/gists/{gist_id}/forks
/projects/{project_id},/projects/{project_id}/collaborators/{username}/permission
/user/followers,/user/orgs
/repos/{owner}/{repo}/projects,/repos/{owner}/{repo}/milestones
/gists,/events
/en/rest,/en/rest/deployments/statuses
/orgs/{org}/code-security/configurations/detach,/orgs/{org}/code-security/configurations/{configuration_id}
/repos/{owner}/{repo}/collaborators,/repos/{owner}/{repo}/attestations
/user/starred,/user/starred/{owner}/{repo}
/users/{username}/gpg_keys,/users
/en/rest/licenses,/en/rest/commits
/repos/{owner}/{repo}/pulls,/repos/{owner}/{repo}/notifications
/en/rest/orgs,/en/rest/dependency-graph
/en/rest/codespaces/organizations,/en/rest/codespaces/machines
/users/{username}/social_accounts,/users/{username}
/repos/{owner}/{repo}/environments,/repos/{owner}/{repo}/activity
/user,/users/{username}/packages/{package_type}/{package_name}/versions/{package_version_id}/restore
/gists/{gist_id}/comments,/gists/{gist_id}
/orgs/{org}/events,/orgs/{org}/outside_collaborators
/orgs/{org}/personal-access-token-requests,/orgs/{org}/teams
/repos/{owner}/{repo}/license,/repos/{owner}/{repo}/codespaces
/en/rest/guides/using-the-rest-api-to-interact-with-checks,/en/rest/guides/scripting-with-the-rest-api-and-ruby
/en/rest/search,/en/rest/branches
/orgs/{org}/interaction-limits,/orgs/{org}/outside_collaborators
/users/{username}/orgs,/users/{username}/subscriptions
/repos/{owner}/{repo}/commits/{ref}/check-runs,/repos/{owner}/{repo}/commits/{ref}
/en/rest/markdown,/en/rest/codes-of-conduct
/repos/{owner}/{repo},/repos/{owner}/{repo}/code-scanning/alerts/{alert_number}
/user,/users/{username}/followers
/repos/{owner}/{repo},/repos/{owner}/{repo}/commits/{commit_sha}/comments
/repos/{owner}/{repo}/pulls,/repos/{owner}/{repo}/collaborators
/en/rest/apps/marketplace,/en/rest/apps
/user/marketplace_purchases/stubbed,/user/marketplace_purchases
/repos/{owner}/{repo}/check-runs,/repos/{owner}/{repo}/license
/en/rest/licenses,/en/rest/users
/orgs/{org}/copilot/billing/selected_users,/orgs/{org}/copilot/billing/seats
/en/rest/guides/working-with-comments,/en/rest/guides/building-a-ci-server
/en/rest/users,/en/rest/secret-scanning
/user/social_accounts,/user/installations
/orgs/{org}/rulesets,/orgs/{org}/hooks
/en/rest/issues/assignees,/en/rest/issues/issues
/repos/{owner}/{repo}/security-advisories,/repos/{owner}/{repo}/topics
/repos/{owner}/{repo}/private-vulnerability-reporting,/repos/{owner}/{repo}/license
/en/rest/repos/webhooks,/en/rest
/repos/{owner}/{repo}/pulls/{pull_number}/commits,/repos/{owner}/{repo}/pulls/{pull_number}/merge
/repos/{owner}/{repo}/assignees,/repos/{owner}/{repo}/keys
/en/rest/guides,/en/rest/about-the-rest-api
/en/rest,/en/rest/emojis/emojis
/repos/{owner}/{repo}/code-scanning/analyses,/repos/{owner}/{repo}/code-scanning/analyses/{analysis_id}
/repos/{owner}/{repo}/import,/repos/{owner}/{repo}/import/authors/{author_id}
/orgs/{org}/members,/orgs/{org}/packages
/repos/{owner}/{repo}/code-security-configuration,/repos/{owner}/{repo}/vulnerability-alerts
/repos/{owner}/{repo}/automated-security-fixes,/repos/{owner}/{repo}/check-suites
/repos/{owner}/{repo}/codespaces/devcontainers,/repos/{owner}/{repo}/codespaces/machines
/applications/{client_id}/token,/applications/{client_id}/grant
/repositories,/octocat
/en/rest/apps,/en/rest/billing
/en/rest/checks,/en/rest/emojis
/en/rest/authentication/endpoints-available-for-fine-grained-personal-access-tokens,/en/rest/authentication/endpoints-available-for-github-app-installation-access-tokens
/users/{username}/events,/users/{username}/repos
/repos/{owner}/{repo}/pages,/repos/{owner}/{repo}/subscribers
/user/following,/user/interaction-limits
/en/rest/commits/statuses,/en/rest/commits
/user/codespaces/secrets/{secret_name}/repositories/{repository_id},/user/codespaces/secrets/{secret_name}
/user,/notifications
/en/rest/about-the-rest-api,/en/rest/dependabot
/orgs/{org}/hooks,/orgs/{org}/rulesets
/users/{username}/keys,/users/{username}/gists
/en/rest/licenses,/en/rest/projects
/repos/{owner}/{repo},/repos/{owner}/{repo}/import/large_files
/orgs/{org}/projects,/orgs/{org}/public_members
/app/installations/{installation_id}/suspended,/app/installations/{installation_id}
/repos/{owner}/{repo}/releases/latest,/repos/{owner}/{repo}/releases
/en/rest/deploy-keys,/en/rest/copilot
/repos/{owner}/{repo}/subscription,/repos/{owner}/{repo}
/en/rest/security-advisories,/en/rest/markdown
/repos/{owner}/{repo}/contributors,/repos/{owner}/{repo}/assignees
/en/rest/commits,/en/rest/classroom
/en/rest/codespaces,/en/rest/actions
/repos/{owner}/{repo},/repos/{owner}/{repo}/rulesets
/en/rest/deployments/protection-rules,/en/rest/deployments/deployments
/repos/{owner}/{repo}/actions/runs/{run_id}/attempts/{attempt_number},/repos/{owner}/{repo}/actions/runs/{run_id}
/app,/app-manifests/{code}/conversions
/user/following,/user/ssh_signing_keys
/repos/{owner}/{repo},/repos/{owner}/{repo}/git/ref/{ref}
/en/rest/commits/comments,/en/rest
/repos/{owner}/{repo},/repos/{owner}/{repo}/traffic/popular/paths
/repos/{owner}/{repo}/actions/secrets,/repos/{owner}/{repo}/actions/permissions
/en/rest/commits,/en/rest/projects
/en/rest,/en/rest/orgs/orgs
/search/topics,/search/users
/repos/{owner}/{repo}/actions/runners,/repos/{owner}/{repo}/actions/organization-variables
/repos/{owner}/{repo}/hooks,/repos/{owner}/{repo}/subscribers
/en/rest/deploy-keys,/en/rest/issues
/en/rest/about-the-rest-api,/en/rest/orgs
/orgs/{org}/projects,/orgs/{org}/installations
/repos/{owner}/{repo}/pulls/{pull_number}/files,/repos/{owner}/{repo}/pulls/{pull_number}/update-branch
/repos/{owner}/{repo},/repos/{owner}/{repo}/keys/{key_id}
/en/rest/using-the-rest-api/rate-limits-for-the-rest-api,/en/rest
/orgs/{org}/blocks,/orgs/{org}/security-advisories
/repos/{owner}/{repo}/installation,/repos/{owner}/{repo}/deployments
/repos/{owner}/{repo}/branches/{branch}/protection/restrictions/apps,/repos/{owner}/{repo}/branches
/repos/{owner}/{repo}/readme,/repos/{owner}/{repo}/topics
/repos/{owner}/{repo}/merge-upstream,/repos/{owner}/{repo}/automated-security-fixes
/user/orgs,/user/social_accounts
/en/rest/reactions,/en/rest/users
/orgs/{org}/events,/orgs/{org}/security-advisories
/en/rest/orgs,/en/rest/dependabot
/user/repository_invitations,/user/teams
/orgs/{org}/teams/{team_slug}/repos,/orgs/{org}/teams/{team_slug}/discussions
/en/rest/orgs/personal-access-tokens,/en/rest/orgs
/gists/{gist_id},/gists/starred
/en/rest/authentication,/en/rest/issues
/en/rest/guides/working-with-comments,/en/rest/guides/encrypting-secrets-for-the-rest-api
/users/{username}/keys,/users/{username}/installation
/user/codespaces/secrets/{secret_name},/user/codespaces/secrets/{secret_name}/repositories/{repository_id}
/orgs/{org}/personal-access-token-requests,/orgs/{org}/organization-roles
/en/rest/activity,/en/rest/dependabot
/en/rest/users/blocking,/en/rest/users/followers
/repos/{owner}/{repo}/interaction-limits,/repos/{owner}/{repo}/codespaces
/en/rest/issues/timeline,/en/rest/issues/labels
/orgs/{org}/actions/runners,/orgs/{org}/actions/runners/{runner_id}/labels/{name}
/orgs/{org}/teams/{team_slug}/discussions/{discussion_number},/orgs/{org}/teams/{team_slug}/discussions/{discussion_number}/comments/{comment_number}
/user/followers,/user/subscriptions
/users/{username}/packages/{package_type}/{package_name}/restore,/users/{username}/packages/{package_type}/{package_name}/versions
/repos/{owner}/{repo}/code-scanning/alerts,/repos/{owner}/{repo}/code-scanning/alerts/{alert_number}/instances
/en/rest/commits,/en/rest/quickstart
/en/rest/metrics,/en/rest/codespaces
/assignments/{assignment_id},/assignments/{assignment_id}/accepted_assignments
/en/rest/gitignore,/en/rest/git
/repos/{owner}/{repo}/issues,/repos/{owner}/{repo}/subscribers
/repos/{owner}/{repo}/tags,/repos/{owner}/{repo}/interaction-limits
/orgs/{org}/security-advisories,/orgs/{org}/installations
/repos/{owner}/{repo}/deployments,/repos/{owner}/{repo}/invitations
/en/rest/deployments/branch-policies,/en/rest/deployments/protection-rules
/repos/{owner}/{repo}/events,/repos/{owner}/{repo}/merges
/user/issues,/user/ssh_signing_keys
/en/rest/releases,/en/rest/reactions
/repos/{owner}/{repo},/repos/{owner}/{repo}/import/authors/{author_id}
/repos/{owner}/{repo}/actions/secrets/{secret_name},/repos/{owner}/{repo}/actions/secrets/public-key
/en/rest/guides,/en/rest/projects
/en/rest/actions/workflows,/en/rest/actions/workflow-runs
/en/rest/repos,/en/rest/teams
/en/rest/guides/rendering-data-as-graphs,/en/rest/guides/delivering-deployments
/en/rest/classroom,/en/rest/reactions
/orgs/{org}/teams/{team_slug}/projects/{project_id},/orgs/{org}/teams/{team_slug}
/en/rest/activity/watching,/en/rest
/repos/{owner}/{repo},/repos/{owner}/{repo}/actions/runners/registration-token
/en/rest/git,/en/rest/dependabot
/orgs/{org}/packages/{package_type}/{package_name}/versions/{package_version_id}/restore,/orgs/{org}/packages/{package_type}/{package_name}/versions/{package_version_id}
/user/projects,/user/repos
/en/rest/git/refs,/en/rest/git/blobs
/orgs/{org}/actions/secrets,/orgs/{org}/actions/permissions
/orgs/{org}/teams/{team_slug}/repos,/orgs/{org}
/repos/{owner}/{repo}/actions/runs/{run_id}/cancel,/repos/{owner}/{repo}/actions/runs/{run_id}/rerun-failed-jobs
/repos/{owner}/{repo}/stargazers,/repos/{owner}/{repo}/interaction-limits
/repos/{owner}/{repo}/merge-upstream,/repos/{owner}/{repo}/labels
/en/rest/rate-limit,/en/rest/gists
/en/rest/codespaces,/en/rest/apps
/users/{username},/users/{username}/settings/billing/actions
/repos/{owner}/{repo}/environments/{environment_name}/secrets/public-key,/repos/{owner}/{repo}/environments/{environment_name}/secrets
/en/rest/actions,/en/rest/users
/en/rest/repos/custom-properties,/en/rest/repos/autolinks
/repos/{owner}/{repo}/actions/runners/{runner_id}/labels/{name},/repos/{owner}/{repo}/actions/runners/{runner_id}/labels
/repos/{owner}/{repo}/issues,/repos/{owner}/{repo}/issues/comments
/repos/{owner}/{repo}/releases/{release_id}/assets,/repos/{owner}/{repo}
/repos/{owner}/{repo}/hooks/{hook_id},/repos/{owner}/{repo}/hooks/{hook_id}/tests
/en/rest/search,/en/rest/codespaces
/en/rest/meta,/en/rest/billing
/users,/users/{username}
/en/rest/apps,/en/rest/security-advisories
/repos/{owner}/{repo}/rulesets,/repos/{owner}/{repo}/rulesets/rule-suites
/orgs/{org}/copilot/billing/seats,/orgs/{org}/copilot/billing/selected_users
/user/codespaces,/user/blocks
/repos/{owner}/{repo},/repos/{owner}/{repo}/git/commits/{commit_sha}
/orgs/{org},/orgs/{org}/copilot/billing/seats
/repos/{owner}/{repo},/repos/{owner}/{repo}/invitations
/en/rest/pages,/en/rest/copilot
/en/rest/branches,/en/rest/packages
/users,/users/{username}/packages/{package_type}/{package_name}/versions
/advisories,/versions
/repos/{owner}/{repo}/stargazers,/repos/{owner}/{repo}/invitations
/en/rest/users,/en/rest/users/blocking
/user/repos,/user/blocks
/en/rest/markdown,/en/rest/teams
/user/orgs,/user/{account_id}
/en/rest/guides/delivering-deployments,/en/rest/guides/building-a-ci-server
/orgs/{org}/teams,/orgs/{org}/teams/{team_slug}/discussions/{discussion_number}/comments
/repos/{owner}/{repo}/pulls,/repos/{owner}/{repo}/pulls/comments/{comment_id}/reactions/{reaction_id}
/user/installations,/user/starred
/en/rest/orgs/rule-suites,/en/rest/orgs/security-managers
/user/emails,/user/public_emails
/repos/{owner}/{repo}/tags,/repos/{owner}/{repo}/labels
/repos/{owner}/{repo}/pulls/{pull_number}/reviews/{review_id},/repos/{owner}/{repo}
/gists,/gists/{gist_id}/comments/{comment_id}
/repos/{owner}/{repo}/commits/{commit_sha}/branches-where-head,/repos/{owner}/{repo}
/en/rest/orgs/organization-roles,/en/rest/orgs/blocking
/repos/{owner}/{repo}/environments/{environment_name}/deployment_protection_rules/{protection_rule_id},/repos/{owner}/{repo}/environments/{environment_name}
/orgs/{org}/teams,/orgs/{org}/security-advisories
/en/rest,/en/rest/rate-limit
/en/rest/orgs/organization-roles,/en/rest
/user/codespaces/{codespace_name}/publish,/user
/en/rest/issues,/en/rest
/en/rest/meta,/en/rest/code-security
/user/keys,/user/installations
/user/repository_invitations,/user/following
/repos/{owner}/{repo}/languages,/repos/{owner}/{repo}
/en/rest/migrations,/en/rest/secret-scanning
/repos/{owner}/{repo}/comments,/repos/{owner}/{repo}/hooks
/repos/{owner}/{repo}/code-security-configuration,/repos/{owner}/{repo}/dispatches
/repos/{owner}/{repo}/license,/repos/{owner}/{repo}/stargazers
/repos/{owner}/{repo},/repos/{owner}/{repo}/pulls/comments/{comment_id}/reactions
/repos/{owner}/{repo}/codespaces/machines,/repos/{owner}/{repo}
/user/followers,/user/keys
/repos/{owner}/{repo}/merges,/repos/{owner}/{repo}/collaborators
/en/rest/interactions,/en/rest/secret-scanning
/en/rest/codespaces,/en/rest/branches
/repos/{owner}/{repo}/contributors,/repos/{owner}/{repo}/hooks
/repos/{owner}/{repo}/teams,/repos/{owner}/{repo}/merges
/en/rest/interactions/repos,/en/rest/interactions/orgs
/en/rest/pulls/review-requests,/en/rest/pulls/pulls
/repos/{owner}/{repo}/deployments,/repos/{owner}/{repo}/license
/en/rest/branches,/en/rest/repos
/en/rest/code-security,/en/rest/code-security/configurations
/user/teams,/user/public_emails
/repos/{owner}/{repo}/pulls/{pull_number}/requested_reviewers,/repos/{owner}/{repo}/pulls/{pull_number}/update-branch
/en/rest/code-scanning,/en/rest/metrics
/app,/users
/repos/{owner}/{repo}/topics,/repos/{owner}/{repo}/comments
/repos/{owner}/{repo}/dispatches,/repos/{owner}/{repo}/hooks
/repos/{owner}/{repo},/repos/{owner}/{repo}/issues/comments/{comment_id}
/teams/{team_id}/discussions,/teams/{team_id}/invitations
/en/rest/apps,/en/rest/git
/repos/{owner}/{repo},/repos/{owner}/{repo}/security-advisories/{ghsa_id}/forks
/repos/{owner}/{repo}/commits,/repos/{owner}/{repo}/commits/{commit_sha}/pulls
/en/rest/security-advisories,/en/rest/git
/en/rest/apps/marketplace,/en/rest/apps/apps
/en/rest/repos/custom-properties,/en/rest/repos/tags
/en/rest/guides,/en/rest/repos
/en/rest/apps/webhooks,/en/rest
/orgs/{org}/actions/permissions/repositories,/orgs/{org}
/en/rest/teams,/en/rest/actions
/user/codespaces/{codespace_name}/publish,/user/codespaces/{codespace_name}/exports
/user/blocks,/user/interaction-limits
/repos/{owner}/{repo}/merge-upstream,/repos/{owner}/{repo}/check-runs
/repos/{owner}/{repo}/assignees,/repos/{owner}/{repo}/labels
/repos/{owner}/{repo}/comments,/repos/{owner}/{repo}/topics
/en/rest/codespaces/organization-secrets,/en/rest/codespaces/machines
/en/rest/migrations/users,/en/rest/migrations/source-imports
/en/rest/deployments/statuses,/en/rest/deployments/environments
/repos/{owner}/{repo}/actions/runs/{run_id}/force-cancel,/repos/{owner}/{repo}/actions/runs/{run_id}
/repos/{owner}/{repo}/code-security-configuration,/repos/{owner}/{repo}
/orgs/{org}/teams/{team_slug}/discussions/{discussion_number}/reactions,/orgs/{org}/teams/{team_slug}
/repos/{owner}/{repo}/assignees,/repos/{owner}/{repo}/topics
/en/rest/using-the-rest-api,/en/rest/interactions
/repos/{owner}/{repo}/teams,/repos/{owner}/{repo}/check-suites
/repos/{owner}/{repo}/issues,/repos/{owner}/{repo}/teams
/en/rest,/en/rest/teams/discussion-comments
/orgs/{org}/hooks,/orgs/{org}/packages
/repos/{owner}/{repo}/actions/runs/{run_id}/logs,/repos/{owner}/{repo}/actions/runs/{run_id}/cancel
/en/rest/dependency-graph/dependency-review,/en/rest/dependency-graph
/en/rest/checks,/en/rest/checks/runs
/user/ssh_signing_keys,/user/ssh_signing_keys/{ssh_signing_key_id}
/repos/{owner}/{repo}/hooks/{hook_id}/deliveries/{delivery_id}/attempts,/repos/{owner}/{repo}/hooks/{hook_id}/deliveries/{delivery_id}
/repos/{owner}/{repo}/actions/runs,/repos/{owner}/{repo}/actions/runners
/repos/{owner}/{repo}/pulls/{pull_number}/update-branch,/repos/{owner}/{repo}/pulls/{pull_number}/reviews
/en/rest/deployments,/en/rest/deployments/protection-rules
/en/rest/guides,/en/rest/codes-of-conduct
/repos/{owner}/{repo}/codespaces/secrets/{secret_name},/repos/{owner}/{repo}/codespaces/secrets
/user/starred,/user/projects
/en/rest/metrics,/en/rest/projects
/repos/{owner}/{repo}/actions/runs/{run_id}/artifacts,/repos/{owner}/{repo}/actions/runs/{run_id}/timing
/user/orgs,/user/subscriptions
/user/marketplace_purchases,/user/keys
/teams/{team_id}/invitations,/teams/{team_id}/members
/en/rest/packages,/en/rest/copilot
/repos/{owner}/{repo}/keys,/repos/{owner}/{repo}/commits
/repos/{owner}/{repo}/actions/runs/{run_id}/approve,/repos/{owner}/{repo}/actions/runs
/users/{username}/packages,/users/{username}/following
/user/packages/{package_type}/{package_name},/user
/app/hook/deliveries/{delivery_id},/app
/users/{username}/repos,/users/{username}/installation
/repos/{owner}/{repo}/issues/comments/{comment_id},/repos/{owner}/{repo}/issues/comments/{comment_id}/reactions/{reaction_id}
/orgs/{org}/interaction-limits,/orgs/{org}/installations
/en/rest/using-the-rest-api/issue-event-types,/en/rest
/repos/{owner}/{repo}/environments/{environment_name}/secrets/{secret_name},/repos/{owner}/{repo}/environments/{environment_name}
/repos/{owner}/{repo}/actions/runs/{run_id},/repos/{owner}/{repo}/actions/runs/{run_id}/attempts/{attempt_number}
/repos/{owner}/{repo}/codespaces,/repos/{owner}/{repo}/readme
/orgs/{org}/issues,/orgs/{org}/interaction-limits
/repos/{owner}/{repo},/repos/{owner}/{repo}/actions/runs/{run_id}/approve
/en/rest/repos/rules,/en/rest/repos/rule-suites
/en/rest/authentication/endpoints-available-for-fine-grained-personal-access-tokens,/en/rest
/en/rest/issues/labels,/en/rest/issues/assignees
/orgs/{org}/invitations,/orgs/{org}/codespaces
/orgs/{org}/security-advisories,/orgs/{org}/hooks
/orgs/{org}/outside_collaborators,/orgs/{org}/public_members
/repos/{owner}/{repo}/branches,/repos/{owner}/{repo}/comments
/en/rest/actions,/en/rest/migrations
/repos/{owner}/{repo}/autolinks,/repos/{owner}/{repo}/labels
/repos/{owner}/{repo}/actions/runners,/repos/{owner}/{repo}/actions/workflows
/en/rest/users/followers,/en/rest/users/blocking
/user/{account_id},/user/repository_invitations
/repos/{owner}/{repo}/tags,/repos/{owner}/{repo}/merge-upstream
/orgs/{org}/events,/orgs/{org}/packages
/repos/{owner}/{repo}/subscription,/repos/{owner}/{repo}/merges
/repos/{owner}/{repo}/license,/repos/{owner}/{repo}/deployments
/repos/{owner}/{repo},/repos/{owner}/{repo}/attestations/{subject_digest}
/orgs/{org}/security-advisories,/orgs/{org}/issues
/en/rest/branches,/en/rest/using-the-rest-api
/user/ssh_signing_keys,/user/{account_id}
/users/{username}/repos,/users/{username}/gists
/repos/{owner}/{repo}/actions/secrets,/repos/{owner}/{repo}/actions/variables
/orgs/{org},/orgs/{org}/actions/cache/usage
/users/{username}/keys,/users/{username}/followers
/en/rest/pages,/en/rest/packages
/en/rest/about-the-rest-api/about-the-rest-api,/en/rest/about-the-rest-api/breaking-changes
/en/rest/codes-of-conduct,/en/rest
/en/rest/pages,/en/rest/dependency-graph
/en/rest/guides/using-the-rest-api-to-interact-with-checks,/en/rest/guides/rendering-data-as-graphs
/en/rest/commits,/en/rest/code-scanning
/en/rest/authentication,/en/rest/authentication/permissions-required-for-github-apps
/markdown,/markdown/raw
/repos/{owner}/{repo}/private-vulnerability-reporting,/repos/{owner}/{repo}/collaborators
/repos/{owner}/{repo}/events,/repos/{owner}/{repo}/attestations
/repos/{owner}/{repo}/actions/runners/{runner_id},/repos/{owner}/{repo}/actions/runners/{runner_id}/labels
/events,/versions
/repos/{owner}/{repo}/pages/builds,/repos/{owner}/{repo}/pages/health
/repos/{owner}/{repo}/actions/runs/{run_id}/cancel,/repos/{owner}/{repo}/actions/runs/{run_id}/logs
/repos/{owner}/{repo}/check-runs,/repos/{owner}/{repo}/code-security-configuration
/repos/{owner}/{repo}/hooks,/repos/{owner}/{repo}/pulls
/repos/{owner}/{repo}/actions/artifacts,/repos/{owner}/{repo}/actions/variables
/repos/{owner}/{repo}/pulls/{pull_number}/reviews/{review_id}/events,/repos/{owner}/{repo}/pulls/{pull_number}/reviews/{review_id}
/app,/markdown
/en/rest/meta,/en/rest/dependabot
/orgs/{org}/teams/{team_slug}/discussions/{discussion_number}/comments/{comment_number}/reactions,/orgs/{org}/teams/{team_slug}
/en/rest/codes-of-conduct/codes-of-conduct,/en/rest/codes-of-conduct
/repos/{owner}/{repo}/actions/runs/{run_id}/rerun,/repos/{owner}/{repo}/actions/runs/{run_id}/cancel
/repos/{owner}/{repo}/actions/runs/{run_id}/timing,/repos/{owner}/{repo}/actions/runs/{run_id}/approve
/repos/{owner}/{repo}/deployments,/repos/{owner}/{repo}/pages
/en/rest/dependabot,/en/rest/quickstart
