API,Hidden API
/en/rest/repos,/en/rest/emojis
/servicefabric/sfclient-api-updatebackuppolicy,/servicefabric/sfclient-model-codepackageentrypoint
/repos/{owner}/{repo}/pulls/{pull_number}/comments,/repos/{owner}/{repo}/pulls/{pull_number}/update-branch
/orgs/{org}/dependabot/secrets/{secret_name}/repositories,/orgs/{org}/dependabot/secrets/{secret_name}/repositories/{repository_id}
/resourceGroups/{resourceGroupName}/providers/Microsoft.AppPlatform/Spring/{serviceName}/serviceRegistries,/resourceGroups/{resourceGroupName}/providers/Microsoft.AppPlatform/Spring/{serviceName}/buildServices
/{accountName}.{adlaCatalogDnsSuffix}/catalog/usql/databases/{databaseName}/secrets/{secretName},/{accountName}.{adlaCatalogDnsSuffix}/catalog/usql/databases
/{endpoint}/datasources,/{endpoint}/farm-equipments
/servicefabric/sfclient-model-backupstate,/servicefabric/sfclient-model-deployedservicepackagehealthreportexpiredevent
/servicefabric/sfrp-2017-07-01-preview-api-applications_get,/servicefabric/sfclient-model-secondaryactivereplicatorstatus
/repos/{owner}/{repo}/actions/runs/{run_id}/pending_deployments,/repos/{owner}/{repo}/actions/runs/{run_id}/jobs
/resourceGroups/{resourceGroupName}/providers/Microsoft.OperationalInsights/workspaces/{workspaceName}/providers/Microsoft.SecurityInsights/contentProductPackages,/resourceGroups/{resourceGroupName}/providers/Microsoft.OperationalInsights/workspaces/{workspaceName}/providers/Microsoft.SecurityInsights/securityMLAnalyticsSettings
/orgs/{org}/invitations,/orgs/{org}/rulesets
/resourceGroups/{resourceGroupName}/providers/Microsoft.EventHub/namespaces/{namespaceName}/privateEndpointConnections,/resourceGroups/{resourceGroupName}/providers/Microsoft.EventHub/namespaces/{namespaceName}/privateLinkResources
/en/rest/metrics,/en/rest/metrics/statistics
/servicefabric/sfclient-model-partitionreconfiguredevent,/servicefabric/sfclient-model-getbackupbystoragequerydescription
/en/rest/codespaces/organization-secrets,/en/rest/codespaces/repository-secrets
/orgs/{org}/packages/{package_type}/{package_name},/orgs/{org}/packages/{package_type}/{package_name}/restore
/en/rest/emojis,/en/rest/pages
/servicefabric/v82/sfclient-v82-api-backuppartition,/servicefabric/v82/sfclient-v82-model-replicastatus
/user/repository_invitations/{invitation_id},/user/repos
/hybridcontainer/virtual-networks,/hybridcontainer/virtual-networks/list-by-resource-group
/app/hook/deliveries/{delivery_id},/app/hook/deliveries
/servicefabric/sfclient-model-autoscalingresourcemetric,/servicefabric/sfclient-api-getdeployedservicereplicainfolist
/resourceGroups/{resourceGroupName}/providers/Microsoft.RecoveryServices/vaults/{resourceName}/replicationProtectionContainers,/resourceGroups/{resourceGroupName}/providers/Microsoft.RecoveryServices/vaults/{resourceName}/replicationSupportedOperatingSystems
/elastic/,/user
/orgs/{org}/security-managers,/orgs/{org}/personal-access-token-requests
/servicefabric/sfclient-model-deployedservicepackagehealthreportexpiredevent,/servicefabric/sfclient-api-getchaosschedule
/en/rest/actions/oidc,/en/rest
/en/rest,/en/rest/issues/comments
/repos/{owner}/{repo}/code-scanning/default-setup,/repos/{owner}/{repo}/code-scanning/analyses
/en/rest/migrations/users,/en/rest/migrations/orgs
/repos/{owner}/{repo}/import,/repos/{owner}/{repo}/languages
/repos/{owner}/{repo}/comments,/repos/{owner}/{repo}/assignees
/servicefabric/sfrp-2017-07-01-preview-model-applicationhealthpolicy,/servicefabric/sfrp-model-applicationhealthpolicy
/users/{username}/projects,/users/{username}/starred
/repos/{owner}/{repo}/keys,/repos/{owner}/{repo}/automated-security-fixes
/repos/{owner}/{repo},/repos/{owner}/{repo}/assignees/{assignee}
/servicefabric/sfclient-model-scheme,/servicefabric/sfclient-model-healthevaluationwrapper
/repos/{owner}/{repo}/rulesets,/repos/{owner}/{repo}/topics
/servicefabric/sfclient-model-backupstate,/servicefabric/sfclient-model-guidpropertyvalue
/virtualnetwork/firewall-policy-idps-signatures,/virtualnetwork/firewall-policy-idps-signatures/list
/repos/{owner}/{repo}/pulls/{pull_number}/reviews/{review_id}/events,/repos/{owner}/{repo}
/servicefabric/sfrp-model-servercertificatecommonnames,/servicefabric/sfclient-model-clusterupgradehealthpolicyobject
/servicefabric/v82/sfclient-v82-api-updaterepairexecutionstate,/servicefabric/v82/sfclient-v82-model-replicastatus
/providers/Microsoft.Network/dnszones,/providers/Microsoft.Network/FrontDoorWebApplicationFirewallManagedRuleSets
/en/rest/git/refs,/en/rest/git
/servicefabric/sfmeshrp-api-replica_listbyservicename,/servicefabric/sfrp-model-clustercodeversionslistresult
/resourceGroups/{resourceGroupName}/providers/Microsoft.RecommendationsService/accounts/{accountName}/modeling,/resourceGroups/{resourceGroupName}/providers/Microsoft.RecommendationsService
/orgs/{org}/teams/{team_slug}/members,/orgs/{org}/teams/{team_slug}/projects
/servicefabric/v82/sfclient-v82-api-getclusterhealthchunkusingpolicyandadvancedfilters,/servicefabric/v82/sfclient-v82-model-restorestate
/servicefabric/v82/sfclient-v82-model-startclusterupgradedescription,/servicefabric/v82/sfclient-v82-model-restorestate
/events,/{denyAssignmentId}
/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters,/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualWans
/en/rest,/en/rest/deployments/deployments
/orgs/{org}/actions/runners/registration-token,/orgs/{org}/actions/runners
/providers/Dynatrace.Observability/operations,/providers/Dynatrace.Observability/monitors
/en/rest/pulls,/en/rest/emojis
/servicefabric/v82/sfclient-v82-api-backuppartition,/servicefabric/v82/sfclient-v82-model-partitionprimarymoveanalysisevent
/servicefabric/v82/sfclient-v82-model-replicainfo,/servicefabric/v82/sfclient-v82-model-restorestate
/resourceGroups/{resourceGroupName}/providers/Microsoft.DevTestLab/labs/{labName}/virtualnetworks/{name},/resourceGroups/{resourceGroupName}/providers/Microsoft.DevTestLab/labs
/servicefabric/sfclient-api-getchaosschedule,/servicefabric/sfclient-model-getbackupbystoragequerydescription
/octocat,/meta
/servicefabric/v82/sfclient-v82-model-remotereplicatorstatus,/servicefabric/v82/sfclient-v82-model-clusterhealthpolicy
/en/rest/pulls,/en/rest/projects
/appservice/web-apps/create-or-update-host-name-binding,/appservice/web-apps/list-function-secrets
/oracle/autonomous-database-versions/list-by-location,/oracle
/repos/{owner}/{repo}/pages,/repos/{owner}/{repo}/projects
/providers/Microsoft.Network/networkProfiles,/providers/Microsoft.Network/expressRouteCircuits
/servicefabric/sfclient-model-autoscalingresourcemetric,/servicefabric/sfclient-model-propertybatchinfo
/orgs/{org}/security-managers/teams/{team_slug},/orgs/{org}
/en/rest/repos/autolinks,/en/rest/repos/tags
/servicefabric/v82/sfclient-v82-model-partitionprimarymoveanalysisevent,/servicefabric/v82/sfclient-v82-model-loadedpartitioninformationquerydescription
/en/rest/orgs/outside-collaborators,/en/rest/orgs/orgs
/en/rest/using-the-rest-api/getting-started-with-the-rest-api,/en/rest/using-the-rest-api/libraries-for-the-rest-api
/en/rest/git,/en/rest/about-the-rest-api
/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/schemas,/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/authorizationServers
/servicefabric/v82/sfclient-v82-model-deployedservicepackagehealthreportexpiredevent,/servicefabric/v82/sfclient-v82-model-chaostargetfilter
/servicefabric/sfclient-api-getchaosschedule,/servicefabric/sfclient-model-servicetypeextensiondescription
/en/rest/gists,/en/rest/security-advisories
/servicefabric/v82/sfclient-v82-model-pagedbackupconfigurationinfolist,/servicefabric/v82/sfclient-v82-model-remotereplicatorstatus
/en/rest/actions,/en/rest/emojis
/servicefabric/sfclient-model-servicetypeextensiondescription,/servicefabric/sfclient-model-propertybatchoperation
/servicefabric/v82/sfclient-v82-model-deployedcodepackageinfo,/servicefabric/v82/sfclient-v82-model-replicastatus
/en/rest/rate-limit,/en/rest/markdown
/en/rest,/en/rest/authentication/endpoints-available-for-github-app-installation-access-tokens
/en/rest/teams,/en/rest/packages
/servicefabric/v82/sfclient-v82-model-loadedpartitioninformationquerydescription,/servicefabric/v82/sfclient-v82-model-restartpartitionresult
/en/rest/actions/workflow-runs,/en/rest/actions/self-hosted-runners
/servicefabric/sfclient-model-upgradedomaindeltanodescheckhealthevaluation,/servicefabric/sfclient-model-clusterupgradehealthpolicyobject
/en/rest/using-the-rest-api/using-cors-and-jsonp-to-make-cross-origin-requests,/en/rest/using-the-rest-api/troubleshooting-the-rest-api
/repos/{owner}/{repo}/topics,/repos/{owner}/{repo}/activity
/appservice/web-apps/stop-continuous-web-job-slot,/appservice/web-apps/list-hybrid-connections
/servicefabric/sfclient-model-httpconfig,/servicefabric/sfclient-api-getclusterversion
/servicefabric/sfclient-model-upgradedomaindeltanodescheckhealthevaluation,/servicefabric/sfclient-model-statelessserviceinfo
/repos/{owner}/{repo}/notifications,/repos/{owner}/{repo}/merge-upstream
/servicefabric/sfclient-model-partitionreconfiguredevent,/servicefabric/sfclient-api-rollbackapplicationupgrade
/resourcemover/operations-discovery/get,/resourcemover
/gists,/issues
/servicefabric/sfclient-model-seednodesafetycheck,/servicefabric/sfclient-model-nodedeactivatestartedevent
/appservice/web-apps/list-function-secrets,/appservice/web-apps/get-instance-function-slot
/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/authorizationServers,/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/notifications
/servicefabric/sfclient-model-backupstate,/servicefabric/sfclient-api-getservicebackuplist
/servicefabric/sfclient-api-getservicebackuplist,/servicefabric/sfrp-model-servercertificatecommonnames
/storageservices/list-handles,/storageservices/copy-blob-from-url
/resourceGroups/{resourceGroupName}/providers/Microsoft.DevTestLab/labs/{labName}/users/{userName}/servicefabrics/{name},/resourceGroups/{resourceGroupName}/providers/Microsoft.DevTestLab/labs
/servicefabric/sfrp-2017-07-01-preview-model-applicationhealthpolicy,/servicefabric/sfclient-api-createservice
/providers/Microsoft.Network/expressRouteServiceProviders,/providers/Microsoft.Network/bgpServiceCommunities
/servicefabric/sfclient-model-entrypointstatus,/servicefabric/sfclient-api-updatebackuppolicy
/servicefabric/v82/sfclient-v82-model-containercodepackageproperties,/servicefabric/v82/sfclient-v82-model-fabricerrorerror
/{endpoint}/datamap/api/atlas/v2/lineage/uniqueAttribute/type/{typeName},/{endpoint}/datamap/api/atlas/v2
/sql/managed-instance-keys,/sql/managed-instance-administrators
/servicefabric/sfrp-2017-07-01-preview-api-applicationtypes_create,/servicefabric/sfclient-model-healthevaluationwrapper
/iotoperationsmq/data-lake-connector,/iotoperationsmq/kafka-connector
/servicefabric/sfclient-model-probe,/servicefabric/sfclient-model-secondaryactivereplicatorstatus
/servicefabric/v82/sfclient-v82-model-restartpartitionresult,/servicefabric/v82/sfclient-v82-model-autoscalingtriggerkind
/network-gateway/virtual-network-gateway-connections/start-packet-capture,/network-gateway/virtual-network-gateway-connections/create-or-update
/orgs/{org}/security-advisories,/orgs/{org}/rulesets
/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/backends/{backendId},/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement
/{endpoint}/test-runs/{testRunId}/metric-namespaces,/{endpoint}/test-runs
/servicefabric/sfclient-model-partitionreconfiguredevent,/servicefabric/sfclient-model-backupentity
/servicefabric/sfclient-model-backupentity,/servicefabric/sfrp-2017-07-01-preview-api-applicationtypes_create
/repos/{owner}/{repo}/pulls/{pull_number},/repos/{owner}/{repo}/pulls/{pull_number}/update-branch
/{applicationId},/advisories
/repos/{owner}/{repo}/deployments/{deployment_id},/repos/{owner}/{repo}/deployments/{deployment_id}/statuses/{status_id}
/servicefabric/v82/sfclient-v82-index-code-package,/servicefabric/v82/sfclient-v82-model-httphostconfig
/en/rest/using-the-rest-api,/en/rest/collaborators
/orgs/{org}/teams/{team_slug}/memberships/{username},/orgs/{org}
/mariadb/reset-query-performance-insight-data,/mariadb/reset-query-performance-insight-data/reset-query-performance-insight-data
/servicefabric/v82/sfclient-v82-model-backuppolicyscope,/servicefabric/v82/sfclient-v82-model-waitforinbuildreplicasafetycheck
/servicefabric/sfclient-api-disablenode,/servicefabric/sfclient-model-updateclusterupgradedescription
/en/rest/users/keys,/en/rest/users
/servicefabric/v82/sfclient-v82-api-getapplicationtypeinfolistbyname,/servicefabric/v82/sfclient-v82-model-clusterhealthpolicy
/teams/{team_id}/discussions,/teams/{team_id}/teams
/organizations,/advisories
/cosmos-db-resource-provider/cassandra-resources/migrate-cassandra-keyspace-to-manual-throughput,/cosmos-db-resource-provider
/gists/{gist_id},/gists/{gist_id}/commits
/servicefabric/sfclient-model-servicetypeextensiondescription,/servicefabric/sfmeshrp-model-volumeproperties
/repos/{owner}/{repo}/pages,/repos/{owner}/{repo}
/servicefabric/v82/sfclient-v82-model-chaostargetfilter,/servicefabric/v82/sfclient-v82-model-deployedservicepackagehealthreportexpiredevent
/servicefabric/v82/sfclient-v82-api-getcorrelatedeventlist,/servicefabric/v82/sfclient-v82-api-getpartitioninfo
/servicefabric/sfclient-api-updatepartitionload,/servicefabric/sfclient-api-getdeployedservicereplicainfolist
/servicefabric/sfclient-api-getdeployedservicereplicainfolist,/servicefabric/sfclient-model-deployedservicepackagehealthreportexpiredevent
/en/rest/releases,/en/rest/dependency-graph
/providers/Microsoft.Network/securityPartnerProviders,/providers/Microsoft.Network/ipGroups
/resourceGroups/{resourceGroupName}/providers/Microsoft.DevTestLab/labs/{labName}/artifactsources/{artifactSourceName}/armtemplates,/resourceGroups/{resourceGroupName}/providers/Microsoft.DevTestLab/labs/{labName}/artifactsources/{artifactSourceName}
/appservice/web-apps/get-instance-info-slot,/appservice/web-apps/create-ms-deploy-operation
/defenderforeasm/dataplanepreview/discovery-groups/list-runs,/defenderforeasm/dataplanepreview/discovery-groups/list-disco-group
/servicefabric/v82/sfclient-v82-api-backuppartition,/servicefabric/v82/sfclient-v82-api-updaterepairexecutionstate
/resourceGroups/{resourceGroupName}/providers/Microsoft.AppPlatform/Spring/{serviceName}/buildServices,/resourceGroups/{resourceGroupName}/providers/Microsoft.AppPlatform/Spring/{serviceName}/apms
/appservice/web-apps/stop-continuous-web-job-slot,/appservice/web-apps/list-process-threads
/en/rest/teams,/en/rest/search
/servicefabric/v82/sfclient-v82-model-httphostconfig,/servicefabric/v82/sfclient-v82-model-backuppolicyscope
/repos/{owner}/{repo}/actions/permissions,/repos/{owner}/{repo}/actions/workflows
/servicefabric/sfclient-model-probeexec,/servicefabric/sfclient-model-secondaryactivereplicatorstatus
/repos/{owner}/{repo}/branches,/repos/{owner}/{repo}/attestations
/servicefabric/v82/sfclient-v82-api-getapplicationtypeinfolistbyname,/servicefabric/v82/sfclient-v82-model-restartpartitionresult
/en/rest/dependabot,/en/rest/codespaces
/servicefabric/sfclient-model-partitionreconfiguredevent,/servicefabric/sfrp-model-clustercodeversionslistresult
/repos/{owner}/{repo}/actions/runs/{run_id}/rerun-failed-jobs,/repos/{owner}/{repo}/actions/runs/{run_id}/deployment_protection_rule
/{endpoint}/scenes/satellite/ingest-data/{jobId},/{endpoint}
/appservice/web-apps/stop-continuous-web-job-slot,/appservice/web-apps/update-azure-storage-accounts
/en/rest/repos/contents,/en/rest/repos/repos
/projects/{project_id},/projects/{project_id}/collaborators
/{endpoint}/nutrient-analyses,/{endpoint}/chemical-products
/repos/{owner}/{repo}/collaborators,/repos/{owner}/{repo}/forks
/resourceGroups/{resourceGroupName}/providers/Microsoft.DeviceUpdate/accounts,/resourceGroups/{resourceGroupName}/providers/Microsoft.DeviceUpdate/accounts/{accountName}/instances
/en/rest/authentication/endpoints-available-for-github-app-installation-access-tokens,/en/rest
/servicefabric/v82/sfclient-v82-api-getcontainerseventlist,/servicefabric/v82/sfclient-v82-model-partitionaccessstatus
/servicefabric/sfclient-model-pagedgatewayresourcedescriptionlist,/servicefabric/sfclient-model-failedpropertybatchinfo
/servicefabric/v82/sfclient-v82-model-clusterhealthpolicy,/servicefabric/v82/sfclient-v82-model-replicastatus
/repos/{owner}/{repo}/actions/runs/{run_id},/repos/{owner}/{repo}/actions/runs/{run_id}/rerun-failed-jobs
/providers/Oracle.Database/locations/{location}/systemVersions,/providers/Oracle.Database/locations/{location}/dnsPrivateZones
/en/rest/repos,/en/rest/deploy-keys
/app,/appconfiguration/private-link-resources/list-by-configuration-store
/octocat,/zen
/orgs/{org}/dependabot/secrets/{secret_name},/orgs/{org}/dependabot/secrets/{secret_name}/repositories/{repository_id}
/servicefabric/sfclient-model-pagedserviceinfolist,/servicefabric/sfrp-model-operationresult
/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/staticSites/{name}/customDomains/{domainName},/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/staticSites/{name}
/servicefabric/sfclient-api-getchaosevents,/servicefabric/sfclient-api-copyimagestorecontent
/markdown,/rate_limit
/storagecache/import-jobs,/storagecache/aml-filesystems
/servicefabric/sfclient-model-restorepartitiondescription,/servicefabric/sfclient-model-backupentity
/servicefabric/v82/sfclient-v82-model-diskinfo,/servicefabric/v82/sfclient-v82-model-statelessserviceinfo
/servicefabric/v82/sfclient-v82-api-getbackuppolicylist,/servicefabric/v82/sfclient-v82-model-containerevent
/servicefabric/v82/sfclient-v82-model-autoscalingtrigger,/servicefabric/v82/sfclient-v82-model-chaoseventkind
/providers/Microsoft.Compute/disks,/providers/Microsoft.Compute/snapshots
/applicationgatewaycontainers/,/custom-vision/
/user/keys,/user/followers
/servicefabric/sfrp-2017-07-01-preview-api-applications_get,/servicefabric/sfclient-index-replica
/licenses,/advisories
/resourcegroups/{resourceGroupName}/providers/{providerName}/{resourceParentType}/{resourceParentName}/{resourceType}/{resourceName}/providers/Microsoft.Maintenance/configurationAssignments/{configurationAssignmentName},/resourcegroups/{resourceGroupName}/providers/{providerName}/{resourceParentType}/{resourceParentName}/{resourceType}/{resourceName}/providers/Microsoft.Maintenance
/notifications,/applicationgatewaycontainers/
/resourceGroups/{resourceGroupName}/providers/Microsoft.Synapse/workspaces,/resourceGroups/{resourceGroupName}/providers/Microsoft.Synapse/workspaces/{workspaceName}/sqlPools/{sqlPoolName}/schemas/{schemaName}/tables
/servicefabric/sfclient-model-applicationscopedvolumecreationparameters,/servicefabric/sfclient-index-replica
/servicefabric/v82/sfclient-v82-api-getcontainerseventlist,/servicefabric/v82/sfclient-v82-model-httphostconfig
/servicefabric/sfclient-model-environmentvariabletype,/servicefabric/sfrp-model-clustercodeversionslistresult
/en/rest,/en/rest/actions
/{endpoint}/contentsafety/text/blocklists,/{endpoint}/contentsafety
/repos/{owner}/{repo}/pulls/{pull_number}/reviews,/repos/{owner}/{repo}/pulls/{pull_number}/reviews/{review_id}
/repos/{owner}/{repo}/pulls/comments/{comment_id},/repos/{owner}/{repo}/pulls
/repos/{owner}/{repo}/pulls/{pull_number}/codespaces,/repos/{owner}/{repo}/pulls/{pull_number}/commits
/en/rest/using-the-rest-api/troubleshooting-the-rest-api,/en/rest/using-the-rest-api/libraries-for-the-rest-api
/servicefabric/v82/sfclient-v82-api-getcorrelatedeventlist,/servicefabric/v82/sfclient-v82-api-getclusterhealthchunkusingpolicyandadvancedfilters
/servicefabric/v82/sfclient-v82-api-invokeinfrastructurequery,/servicefabric/v82/sfclient-v82-model-restartpartitionresult
/servicefabric/v82/sfclient-v82-api-updaterepairexecutionstate,/servicefabric/v82/sfclient-v82-model-fileinfo
/codes_of_conduct,/users
/repos/{owner}/{repo},/repos/{owner}/{repo}/codespaces/new
/orgs/{org}/blocks,/orgs/{org}/events
/servicefabric/v82/sfclient-v82-model-autoscalingtriggerkind,/servicefabric/v82/sfclient-v82-model-clusterhealthpolicy
/quota/quota,/quota/quota-operation
/orgs/{org}/issues,/orgs/{org}/migrations
/RdsManagement/V1/TenantGroups/{tenantGroupName}/Tenants/{tenantName}/HostPools/{hostPoolName},/RdsManagement/V1/TenantGroups/{tenantGroupName}/Tenants/{tenantName}/HostPools/{hostPoolName}/AppGroups/{appGroupName}
/repos/{owner}/{repo}/autolinks,/repos/{owner}/{repo}/pages
/servicefabric/sfclient-index-replica,/servicefabric/sfclient-model-backupentity
/{applicationId},/aiservices/
/repos/{owner}/{repo}/milestones,/repos/{owner}/{repo}/environments
/servicefabric/sfclient-api-updatebackuppolicy,/servicefabric/sfrp-2017-07-01-preview-api-applicationtypeversions_get
/servicefabric/v82/sfclient-v82-model-clusterhealthchunk,/servicefabric/v82/sfclient-v82-model-clusterhealthpolicy
/licenses,/issues
/en/rest/teams,/en/rest/apps
/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{name}/slots/{slot}/privateAccess/virtualNetworks,/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{name}/slots
/servicefabric/sfclient-api-disablenode,/servicefabric/sfclient-api-getservicebackuplist
/servicefabric/sfclient-model-safetycheckwrapper,/servicefabric/sfclient-model-backupentity
/orgs/{org}/events,/orgs/{org}/hooks
/servicefabric/v82/sfclient-v82-model-usageinfo,/servicefabric/v82/sfclient-v82-model-imagestorecontent
/providers/Microsoft.Network/ipGroups,/providers/Microsoft.Network/networkProfiles
/virtualnetwork/service-tag-information,/virtualnetwork/resource-navigation-links
/orgs/{org},/orgs/{org}/personal-access-tokens/{pat_id}/repositories
/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/serverfarms/{name}/hybridConnectionRelays,/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/serverfarms/{name}/skus
/repos/{owner}/{repo}/releases,/repos/{owner}/{repo}/subscription
/repos/{owner}/{repo}/notifications,/repos/{owner}/{repo}/events
/servicefabric/sfclient-api-getclusterversion,/servicefabric/sfclient-model-clusterupgradehealthpolicyobject
/repos/{owner}/{repo}/branches/{branch}/protection/enforce_admins,/repos/{owner}/{repo}
/servicefabric/sfclient-api-getclusterversion,/servicefabric/sfrp-model-diagnosticsstorageaccountconfig
/hdinsightonaks/cluster-pools/create-or-update,/hdinsightonaks
/servicefabric/sfclient-model-nodedeactivatestartedevent,/servicefabric/sfclient-model-fabricevent
/servicefabric/sfclient-model-failedpropertybatchinfo,/servicefabric/sfmeshrp-api-network_get
/providers/Microsoft.Network/securityPartnerProviders,/providers/Microsoft.Network/FrontDoorWebApplicationFirewallManagedRuleSets
/repos/{owner}/{repo}/releases,/repos/{owner}/{repo}/collaborators
/en/rest/checks,/en/rest/migrations
/resourceGroups/{resourceGroupName}/providers/Microsoft.AppPlatform/Spring/{serviceName}/gateways/{gatewayName}/domains,/resourceGroups/{resourceGroupName}/providers/Microsoft.AppPlatform/Spring/{serviceName}/gateways
/servicefabric/v82/sfclient-v82-api-getchaosschedule,/servicefabric/v82/sfclient-v82-model-replicastatus
/repos/{owner}/{repo}/assignees,/repos/{owner}/{repo}/forks
/servicefabric/sfclient-model-failedpropertybatchinfo,/servicefabric/sfclient-model-deployedservicepackagehealthreportexpiredevent
/en/rest/authentication,/en/rest/using-the-rest-api
/servicefabric/sfclient-api-createservice,/servicefabric/sfclient-model-applicationresourceupgradeprogressinfo
/advisories,/{applicationId}
/servicefabric/sfclient-api-createservice,/servicefabric/sfclient-api-getpartitionhealth
/en/rest/apps,/en/rest/activity
/servicefabric/sfrp-2017-07-01-preview-api-applicationtypeversions_get,/servicefabric/sfclient-api-getnameexistsinfo
/servicefabric/sfclient-model-getbackupbystoragequerydescription,/servicefabric/sfclient-model-nodeid
/search/commits,/search/users
/en/rest,/en/rest/copilot/copilot-usage
/servicefabric/v82/sfclient-v82-api-getbackuppolicylist,/servicefabric/v82/sfclient-v82-model-clusterhealthreportexpiredevent
/en/rest/users,/en/rest/dependabot
/servicefabric/v82/sfclient-v82-api-getcontainerseventlist,/servicefabric/v82/sfclient-v82-api-movesecondaryreplica
/appservice/web-apps/list-premier-add-ons,/appservice/web-apps/delete-public-certificate
/users/{username}/projects,/users/{username}/gpg_keys
/resourceGroups/{resourceGroupName}/providers/Microsoft.DevTestLab/labs/{labName}/artifactsources/{artifactSourceName}/armtemplates,/resourceGroups
/providers/Microsoft.Network/azureWebCategories,/providers/Microsoft.Network/NetworkExperimentProfiles
/providers/Microsoft.Compute/galleries,/providers/Microsoft.Compute/snapshots
/repos/{owner}/{repo}/actions/runs/{run_id}/force-cancel,/repos/{owner}/{repo}/actions/runs/{run_id}/rerun
/servicefabric/sfmeshrp-api-replica_listbyservicename,/servicefabric/sfclient-api-getdeployedservicereplicainfolist
/repos/{owner}/{repo}/events,/repos/{owner}/{repo}/transfer
/servicefabric/sfclient-model-upgradedomaindeltanodescheckhealthevaluation,/servicefabric/sfclient-model-probe
/servicefabric/sfrp-model-operationresult,/servicefabric/sfclient-model-entrypointstatus
/issues,/zen
/resourceGroups/{resourceGroupName}/providers/Microsoft.AVS/privateClouds/{privateCloudName}/clusters/{clusterName}/placementPolicies,/resourceGroups/{resourceGroupName}/providers/Microsoft.AVS/privateClouds/{privateCloudName}/clusters/{clusterName}/virtualMachines
/en/rest/collaborators,/en/rest/billing
/repos/{owner}/{repo}/license,/repos/{owner}/{repo}/assignees
/providers/Microsoft.Storage.Admin/locations/{location}/acquisitions,/providers/Microsoft.Storage.Admin
/en/rest/users/users,/en/rest/users/blocking
/servicefabric/v82/sfclient-v82-api-getcontainerseventlist,/servicefabric/v82/sfclient-v82-model-autoscalingtrigger
